Timestamp,Soil Moisture (%),Light Intensity (%),Humidity (%),Temperature (C)
2024-12-13 20:43,65%,26%,24%,24C
2024-12-13 20:43,64%,26%,24%,24C
2024-12-13 20:43,65%,26%,24%,24C
2024-12-13 20:43,64%,26%,24%,24C
2024-12-13 20:43,64%,26%,24%,24C
2024-12-13 20:44,64%,26%,24%,24C
2024-12-13 20:44,64%,26%,24%,24C
2024-12-13 20:44,64%,26%,24%,24C
2024-12-13 20:44,64%,26%,25%,24C
2024-12-13 20:44,64%,26%,25%,24C
2024-12-13 20:44,64%,26%,25%,24C
2024-12-13 20:44,64%,26%,25%,24C
2024-12-13 20:44,64%,26%,25%,24C
2024-12-13 20:44,65%,26%,24%,24C
2024-12-13 20:44,65%,26%,24%,24C
2024-12-13 20:44,64%,26%,24%,24C
2024-12-13 20:44,64%,26%,24%,24C
2024-12-13 20:44,64%,26%,24%,24C
2024-12-13 20:44,64%,26%,24%,24C
2024-12-13 20:44,64%,26%,24%,24C
2024-12-13 20:44,64%,26%,24%,24C
2024-12-13 20:44,65%,26%,24%,24C
2024-12-13 20:44,64%,26%,24%,24C
2024-12-13 20:44,64%,26%,24%,24C
2024-12-13 20:44,64%,26%,24%,24C
2024-12-13 20:44,64%,26%,24%,24C
2024-12-13 20:44,65%,26%,24%,24C
2024-12-13 20:44,64%,26%,24%,24C
2024-12-13 20:44,64%,26%,24%,24C
2024-12-13 20:44,64%,26%,24%,24C
2024-12-13 20:44,64%,26%,24%,24C
2024-12-13 20:44,64%,26%,24%,24C
2024-12-13 20:45,64%,26%,25%,24C
2024-12-13 20:45,64%,26%,25%,24C
2024-12-13 20:45,64%,26%,25%,24C
2024-12-13 20:45,64%,26%,25%,24C
2024-12-13 20:45,64%,26%,25%,24C
2024-12-13 20:45,64%,26%,25%,24C
2024-12-13 20:45,64%,26%,25%,24C
2024-12-13 20:45,64%,26%,25%,24C
2024-12-13 20:45,64%,26%,25%,24C
2024-12-13 20:45,64%,26%,25%,24C
2024-12-13 20:45,64%,26%,25%,24C
2024-12-13 20:45,64%,26%,25%,24C
2024-12-13 20:45,64%,26%,25%,24C
2024-12-13 20:45,64%,26%,25%,24C
2024-12-13 20:45,64%,26%,25%,24C
2024-12-13 20:45,64%,26%,25%,24C
2024-12-13 20:45,64%,26%,25%,24C
2024-12-13 20:45,64%,26%,25%,24C
2024-12-13 20:45,64%,26%,25%,24C
2024-12-13 20:45,63%,26%,25%,24C
2024-12-13 20:45,63%,25%,25%,24C
2024-12-13 20:45,63%,25%,25%,24C
2024-12-13 20:45,63%,25%,25%,24C
2024-12-13 20:45,63%,26%,25%,24C
2024-12-13 20:45,63%,26%,25%,24C
2024-12-13 20:45,64%,26%,25%,24C
2024-12-13 20:45,64%,26%,25%,24C
2024-12-13 20:46,63%,26%,25%,24C
2024-12-13 20:46,63%,26%,25%,24C
2024-12-13 20:46,64%,26%,25%,24C
2024-12-13 20:46,65%,26%,25%,24C
2024-12-13 20:46,65%,26%,25%,24C
2024-12-13 20:46,65%,26%,25%,24C
2024-12-13 20:46,65%,26%,25%,24C
2024-12-13 20:46,65%,26%,24%,24C
2024-12-13 20:46,65%,26%,24%,24C
2024-12-13 20:46,64%,26%,24%,24C
2024-12-13 20:46,64%,26%,24%,24C
2024-12-13 20:46,64%,26%,24%,24C
2024-12-13 20:46,65%,26%,24%,24C
2024-12-13 20:46,65%,26%,24%,24C
2024-12-13 20:46,64%,26%,24%,24C
2024-12-13 20:46,64%,26%,24%,24C
2024-12-13 20:46,64%,26%,24%,24C
2024-12-13 20:46,64%,26%,24%,24C
2024-12-13 20:46,64%,26%,24%,24C
2024-12-13 20:46,64%,26%,24%,24C
2024-12-13 20:46,64%,26%,24%,24C
2024-12-13 20:46,64%,26%,24%,24C
2024-12-13 20:46,64%,26%,24%,24C
2024-12-13 20:46,64%,26%,24%,24C
2024-12-13 20:46,64%,26%,24%,24C
2024-12-13 20:46,64%,26%,24%,24C
2024-12-13 20:46,64%,25%,24%,24C
2024-12-13 20:47,64%,26%,24%,24C
2024-12-13 20:47,63%,26%,24%,24C
2024-12-13 20:47,63%,26%,24%,24C
2024-12-13 20:47,63%,26%,24%,24C
2024-12-13 20:47,63%,26%,25%,24C
2024-12-13 20:47,63%,26%,25%,24C
2024-12-13 20:47,63%,26%,24%,24C
2024-12-13 20:47,63%,26%,24%,24C
2024-12-13 20:47,63%,26%,24%,24C
2024-12-13 20:47,63%,26%,24%,24C
2024-12-13 20:47,63%,26%,24%,24C
2024-12-13 20:47,63%,26%,24%,24C
2024-12-13 20:47,63%,26%,24%,24C
2024-12-13 20:47,63%,26%,24%,24C
2024-12-13 20:47,63%,26%,24%,24C
2024-12-13 20:47,63%,26%,24%,24C
2024-12-13 20:47,63%,26%,25%,24C
2024-12-13 20:47,63%,26%,25%,24C
2024-12-13 20:47,63%,26%,25%,24C
2024-12-13 20:47,63%,26%,24%,24C
2024-12-13 20:47,63%,26%,24%,24C
2024-12-13 20:47,63%,26%,24%,24C
2024-12-13 20:47,63%,26%,25%,24C
2024-12-13 20:47,63%,26%,24%,24C
2024-12-13 20:47,63%,26%,25%,24C
2024-12-13 20:47,63%,26%,25%,24C
2024-12-13 20:48,63%,26%,25%,24C
2024-12-13 20:48,63%,26%,25%,24C
2024-12-13 20:48,63%,26%,25%,24C
2024-12-13 20:48,63%,26%,25%,24C
2024-12-13 20:48,63%,26%,25%,24C
2024-12-13 20:48,63%,26%,25%,24C
2024-12-13 20:48,63%,26%,25%,24C
2024-12-13 20:48,63%,26%,25%,24C
